ood_name,model_name,pred,uncertainty,probs
TRAIN,Softmax,9,5.716347e-05,"[3.4966482e-14 1.4912955e-18 1.1478769e-05 1.0725241e-15 1.1586514e-34
 8.7431312e-11 1.4221369e-09 3.8902769e-19 3.0124998e-18 9.9998856e-01
 2.1030639e-18 1.5326549e-31]"
TRAIN,Softmax,10,0.00013631087,"[1.7265080e-05 9.6659360e-06 1.4097837e-15 6.6228705e-07 4.2393146e-19
 3.5870447e-13 1.6626197e-09 3.7989153e-08 6.3811681e-14 9.1022478e-16
 9.9997234e-01 1.8009660e-10]"
TRAIN,Softmax,4,0.012195652,"[6.1284237e-07 1.1305880e-12 1.0119282e-09 2.5547067e-07 9.9563259e-01
 1.4986806e-08 8.8957860e-04 2.6660758e-09 3.4769371e-03 4.4207871e-10
 4.2272221e-09 7.2580626e-12]"
TRAIN,Softmax,2,0.0231702,"[7.4019724e-08 1.2835685e-09 9.9126047e-01 8.2104805e-07 1.5731502e-20
 3.7247248e-03 4.5994213e-03 9.9245744e-06 1.4016975e-08 4.0425471e-04
 2.4460485e-07 4.2749364e-09]"
TRAIN,Softmax,5,0.00030327225,"[1.0602850e-13 1.1239317e-15 6.1327199e-05 1.0388334e-06 1.6289558e-28
 9.9993157e-01 4.4599146e-06 1.3080888e-06 4.3697368e-12 2.1860355e-07
 7.8227214e-10 3.5868983e-13]"
TRAIN,Softmax,1,0.0379855,"[1.89774632e-02 9.80992377e-01 2.61663136e-09 7.26612270e-10
 1.04836116e-13 5.38516655e-15 7.29070621e-07 4.31409575e-09
 1.11823283e-06 7.52386868e-12 1.50768858e-06 2.68290187e-05]"
TRAIN,Softmax,2,0.0062518525,"[3.0955101e-07 1.0368660e-07 9.9818677e-01 1.3341642e-06 8.9036065e-21
 6.8573595e-04 3.0548443e-04 1.4830079e-04 3.6682888e-08 6.6985085e-04
 6.8142447e-07 1.3237816e-06]"
TRAIN,Softmax,3,4.405429e-05,"[1.4068505e-16 1.4497763e-24 6.2729114e-11 9.9999201e-01 1.4213106e-26
 9.5520852e-07 7.2157661e-15 3.4668171e-06 2.6657173e-13 5.2129924e-21
 3.5594433e-06 2.3062975e-15]"
TRAIN,Softmax,11,0.00087578007,"[2.2081245e-04 3.6100939e-08 3.4251622e-07 1.7588941e-10 2.7505862e-24
 1.3913998e-10 7.0016213e-06 2.2947155e-08 3.5605416e-09 5.5981749e-13
 2.8999261e-10 9.9977189e-01]"
TRAIN,Softmax,9,5.230332e-06,"[1.7656524e-12 1.5211789e-16 8.6507458e-07 5.7980727e-15 2.5163446e-33
 2.1848783e-11 4.4321733e-09 2.9828102e-19 4.3152524e-18 9.9999917e-01
 3.3748829e-16 7.1986037e-31]"
TRAIN,Softmax,5,9.780235e-06,"[1.7545497e-15 2.6569608e-22 1.3056235e-06 1.9028169e-08 8.9399842e-32
 9.9999833e-01 1.8919826e-07 1.7869975e-10 2.3981851e-15 1.0407786e-07
 1.3566207e-11 1.0657913e-18]"
TRAIN,Softmax,6,0.0010654819,"[3.1072861e-05 2.7249293e-08 2.2210088e-04 2.0451732e-07 2.9287371e-22
 1.4337770e-05 9.9973053e-01 6.1057591e-07 5.8472125e-09 1.0386245e-06
 3.4446337e-08 1.2717899e-10]"
TRAIN,Softmax,0,0.07893155,"[9.5181251e-01 4.7759622e-02 1.5702304e-09 2.5395570e-07 1.2662756e-11
 3.5163205e-12 7.6285491e-05 2.7616402e-08 2.0049541e-04 8.5192652e-11
 6.9187932e-05 8.1602957e-05]"
TRAIN,Softmax,7,0.0015127426,"[2.3564648e-12 8.0512506e-11 7.6273244e-07 4.3380860e-06 1.6715036e-23
 4.0954247e-04 2.7941620e-09 9.9957901e-01 1.3302205e-09 7.9718177e-12
 4.5640686e-06 1.7323250e-06]"
TRAIN,Softmax,1,0.13536815,"[1.0483602e-01 8.9509392e-01 2.9094531e-06 1.9416129e-07 3.0162960e-13
 3.4519683e-12 5.1975770e-05 3.6767954e-08 7.6057358e-06 2.8190971e-08
 1.6904528e-06 5.6410740e-06]"
TRAIN,Softmax,0,0.05600257,"[9.7151732e-01 1.9368941e-03 5.4236114e-07 8.5325382e-07 1.6675791e-05
 4.5288922e-11 4.4286059e-04 2.3879838e-07 2.6054924e-02 6.4775804e-08
 2.3701083e-05 5.9925719e-06]"
TRAIN,Softmax,0,0.042175774,"[9.7896475e-01 2.0557266e-02 2.4729945e-07 2.5614818e-07 1.1203798e-12
 2.0931449e-12 1.4513950e-05 4.9955861e-07 6.7046320e-05 1.0164438e-10
 9.3631621e-05 3.0167523e-04]"
TRAIN,Softmax,6,0.0005058885,"[2.5702381e-08 2.0553507e-14 9.8908917e-05 1.5347592e-08 5.5971790e-28
 2.0783113e-05 9.9988019e-01 1.1117758e-09 2.9273903e-13 2.2682269e-08
 5.9724148e-12 2.5471922e-16]"
